"edition","name","quadrant","ring","description"
"2010-01",Web as platform,Techniques,Trial,"<p>We assist many of our clients in adapting enterprise software architecture practices to fit within an Agile software delivery approach. In the past year we have seen increased interest in evolutionary enterprise architecture and how service oriented architectures shape the boundaries between enterprise units. The value of an evolutionary approach to enterprise architecture is the creation of lighter weight systems that ease integration between disparate parts. By embracing this approach and the notion of the web as an enterprise application platform, we have reduced overall complexity of application architectures, increased quality and scalability, and reduced development costs.</p>"
"2010-01",Continuous deployment,Techniques,Assess,""
"2010-01",Evolutionary architecture,Techniques,Assess,"<p>We assist many of our clients in adapting enterprise software architecture practices to fit within an Agile software delivery approach. In the past year we have seen increased interest in evolutionary enterprise architecture and how service oriented architectures shape the boundaries between enterprise units. The value of an evolutionary approach to enterprise architecture is the creation of lighter weight systems that ease integration between disparate parts. By embracing this approach and the notion of the web as an enterprise application platform, we have reduced overall complexity of application architectures, increased quality and scalability, and reduced development costs.</p>"
"2010-01",Incremental data warehousing,Techniques,Assess,""
"2010-01",Cloud,Platforms,Adopt,""
"2010-01",Firefox,Platforms,Adopt,"<p>Web browsers continue to evolve as they strive to keep pace with new specifications in HTML, CSS and JavaScript. Alas, many enterprises have yet to embrace the end of life for IE6 and move to a newer and more standards compliant option. Of the browsers available today, Firefox and Opera provide support for the widest range of platforms. The Google browser, Chrome, brings new innovation to the browser space by splitting browser tabs into separate processes while providing a new implementation of JavaScript. These changes appear to give Chrome a significant performance boost over other browsers and have influenced the creation of a netbook OS called Chrome OS. While enterprises may look to move off IE6 and onto Microsoft’s IE8, we remain concerned about IE8’s current level of compliance to web standards.</p>"
"2010-01",iPhone,Platforms,Adopt,""
"2010-01",JVM as platform,Platforms,Adopt,""
"2010-01",Android,Platforms,Trial,""
"2010-01",Non-relational databases,Platforms,Trial,"<p>The semantic web and its underlying technologies, including RDF & SPARQL, have been around for 8 years or more. Broader uptake of the Cloud and non-relational databases such Neo4j have helped move the semantic web into the reach of enterprise developers. Outside of the semantic web, nonrelational databases are being adopted as alternatives to relational databases in a number of situations. Leveraging these technologies will require new approaches to architecture and development that suggest widespread adoption will only occur over a number of years.</p>"
"2010-01",Chrome,Platforms,Assess,"<p>Web browsers continue to evolve as they strive to keep pace with new specifications in HTML, CSS and JavaScript. Alas, many enterprises have yet to embrace the end of life for IE6 and move to a newer and more standards compliant option. Of the browsers available today, Firefox and Opera provide support for the widest range of platforms. The Google browser, Chrome, brings new innovation to the browser space by splitting browser tabs into separate processes while providing a new implementation of JavaScript. These changes appear to give Chrome a significant performance boost over other browsers and have influenced the creation of a netbook OS called Chrome OS. While enterprises may look to move off IE6 and onto Microsoft’s IE8, we remain concerned about IE8’s current level of compliance to web standards.</p>"
"2010-01",Chrome OS,Platforms,Assess,"<p>Web browsers continue to evolve as they strive to keep pace with new specifications in HTML, CSS and JavaScript. Alas, many enterprises have yet to embrace the end of life for IE6 and move to a newer and more standards compliant option. Of the browsers available today, Firefox and Opera provide support for the widest range of platforms. The Google browser, Chrome, brings new innovation to the browser space by splitting browser tabs into separate processes while providing a new implementation of JavaScript. These changes appear to give Chrome a significant performance boost over other browsers and have influenced the creation of a netbook OS called Chrome OS. While enterprises may look to move off IE6 and onto Microsoft’s IE8, we remain concerned about IE8’s current level of compliance to web standards.</p>"
"2010-01",Google as corporate platform,Platforms,Assess,""
"2010-01",HTML 5,Platforms,Assess,"<p>This platform was included in this edition of the Radar for visibility. We felt that there wasn't anything substantial to add to the discourse around it, but that it was important to keep this in view.</p>"
"2010-01",Location based services,Platforms,Assess,""
"2010-01",RDF & SPARQL,Platforms,Assess,"<p>The semantic web and its underlying technologies, including RDF & SPARQL, have been around for 8 years or more. Broader uptake of the Cloud and non-relational databases such Neo4j have helped move the semantic web into the reach of enterprise developers. Outside of the semantic web, nonrelational databases are being adopted as alternatives to relational databases in a number of situations. Leveraging these technologies will require new approaches to architecture and development that suggest widespread adoption will only occur over a number of years.</p>"
"2010-01",Rich Internet applications,Platforms,Assess,"<p>Our position on Rich Internet Applications has changed over the past year. Experience has shown that platforms such as Silverlight, Flex and JavaFX may be useful for rich visualizations of data but provide few benefits over simpler web applications. Given that these toolsets have limited support for automated testing, it would suggest that a more traditional web application stack provides greater value for enterprise development. We recommend only using RIA platforms for rich visualizations incorporated into web applications, not as comprehensive development targets.</p>"
"2010-01",IE8,Platforms,Hold,"<p>Web browsers continue to evolve as they strive to keep pace with new specifications in HTML, CSS and JavaScript. Alas, many enterprises have yet to embrace the end of life for IE6 and move to a newer and more standards compliant option. Of the browsers available today, Firefox and Opera provide support for the widest range of platforms. The Google browser, Chrome, brings new innovation to the browser space by splitting browser tabs into separate processes while providing a new implementation of JavaScript. These changes appear to give Chrome a significant performance boost over other browsers and have influenced the creation of a netbook OS called Chrome OS. While enterprises may look to move off IE6 and onto Microsoft’s IE8, we remain concerned about IE8’s current level of compliance to web standards.</p>"
"2010-01",JavaScript as a first class language,languages-and-frameworks,Adopt,""
"2010-01",C# 4.0,languages-and-frameworks,Trial,""
"2010-01",Domain-Specific Languages,languages-and-frameworks,Trial,""
"2010-01",Concurrent languages,languages-and-frameworks,Assess,"<p>The remaining two language types included on the radar are often grouped together. While functional and concurrent languages may be adopted in similar environments, their approaches are different. Functional programming focuses on expressing code in the form of mathematical functions that avoid maintaining state across multiple invocations. While functional languages such as Haskell have been around for a number of years, new functional (themed) languages such as Scala, F# and Clojure have sparked some interest in this paradigm. Due to the way in which functional languages manage state, interest in these languages has increased by many developers seeking to make the most out of multi-core processors. Many concurrent languages are also functional languages. The distinction lies in the emphasis on running operations in parallel. A number of such languages exist; Erlang is currently the most popular of these languages. Concurrent languages commonly provide some means for handling concurrency by using messages to communicate across multiple threads.</p>"
"2010-01",Functional languages,languages-and-frameworks,Assess,"<p>The remaining two language types included on the radar are often grouped together. While functional and concurrent languages may be adopted in similar environments, their approaches are different. Functional programming focuses on expressing code in the form of mathematical functions that avoid maintaining state across multiple invocations. While functional languages such as Haskell have been around for a number of years, new functional (themed) languages such as Scala, F# and Clojure have sparked some interest in this paradigm. Due to the way in which functional languages manage state, interest in these languages has increased by many developers seeking to make the most out of multi-core processors. Many concurrent languages are also functional languages. The distinction lies in the emphasis on running operations in parallel. A number of such languages exist; Erlang is currently the most popular of these languages. Concurrent languages commonly provide some means for handling concurrency by using messages to communicate across multiple threads.</p>"
"2010-04",EC2 & S3,Platforms,Trial,"<p>The Cloud continues to be of interest to us, with Software as a Service the most mature cloud component. Platform and Infrastructure as service offerings have reached different levels of maturity, and we reflect that in our placement of EC2, Google App Engine and Azure.</p>"
"2010-01",Java language end of life,languages-and-frameworks,Assess,"<p>As C# continues to surge ahead, the Java language appears to be moving slowly as the Java community waits for Java 7. Having waited for new language features to surface for almost 3 years, the Java community has begun to innovate in new languages that run on the Java Virtual Machine, languages such as Groovy, JRuby, Scala and Clojure. With the increase in number of languages available on the JVM, we expect enterprises to begin to assess the suitability of reducing the amount of Java specific code developed in their enterprise applications in favor of these newer languages.</p>"
"2010-04",ASP.NET MVC,Tools,Adopt,""
"2010-04",Squid,Tools,Adopt,"<p>This tool was included in this edition of the Radar for visibility. We felt that there wasn't anything substantial to add to the discourse around it, but that it was important to keep this in view.</p>"
"2010-04",Subversion,Tools,Adopt,""
"2010-04",Distributed version control,Tools,Trial,"<p>Subversion moves back into the Adopt section of the radar because it is a solid version control tool suitable for most teams. We consider Subversion’s features to be the basic standard for a modern version control tool. ThoughtWorkers continue to embrace and recommend Distributed Version Control tools such as Git and Mercurial, but we caution that these systems often require deeper understanding to get the most out of them. New to the radar is GitHub, a “social coding” tool supporting both source code hosting and social networking. GitHub is arguably one of the main reasons Git has become the leading DVCS tool, and GitHub’s collaboration features are often used by enterprises that need to support distributed teams.</p>"
"2010-04",Message buses without smarts,Tools,Trial,""
"2010-04",MongoDB,Tools,Trial,""
"2010-04",Neo4J,Tools,Trial,""
"2010-04",Next-generation test tools,Tools,Trial,""
"2010-04",Cross mobile platforms,Tools,Assess,""
"2010-04",GitHub,Tools,Assess,""
"2010-04",NoSQL,Tools,Assess,""
"2010-04",RDF triple stores,Tools,Assess,"<p>Semantic Web W3C standards, and the tools implementing them, are at last worthy of real attention. RDF and RDFa allow anyone to say anything about anything in a sharable, structured format. This proves a much more powerful means of linking and structuring data from disparate sources than the strictness of RDBMS, or the mess that is unstructured Web data. Correspondingly SPARQL is the query standard that allows information to be mined from RDF marked-up data.</p>"
"2010-04",Restfulie,Tools,Assess,""
"2010-04",Visualizations for business data,Tools,Assess,"<p>This tool was included in this edition of the Radar for visibility. We felt that there wasn't anything substantial to add to the discourse around it, but that it was important to keep this in view.</p>"
"2010-04",ESB,Tools,Hold,""
"2010-04",Language workbenches,Tools,Hold,"<p>It is likely that test languages will continue to evolve with the assistance of language workbenches, tools that assist in the creation of domain specific languages. Tools such as Jetbrains’ MPS and Intentional Software’s offering are leading the industry in this area. Both provide ways of creating new languages to map business software more closely to the end user’s domain language.</p>"
"2010-04",Build pipelines,Techniques,Adopt,""
"2010-04",Emergent design,Techniques,Adopt,""
"2010-04",Evolutionary database,Techniques,Adopt,""
"2010-04",Web as platform,Techniques,Adopt,""
"2010-04",Automation of technical tests,Techniques,Trial,"<p>Significant advances in the tools for automating functional testing haven’t been replicated in the technical testing space. Data management for performance, load and soak testing is a particular issue. However, the tools are improving and increased visibility for these tools supports the early and often technical testing that we advocate.</p>"
"2010-04",Continuous deployment,Techniques,Trial,""
"2010-04",Lean software development,Techniques,Trial,"<p>As Agile practices move further toward mainstream adoption, we see significant benefits from the adoption of Lean software development practices as well. These practices have their roots in the Toyota Production System and complement much of our understanding of Agile software development to date. One topic that Lean has also given us greater insight into is that of set-based design. Set-based design leads us to implement similar solutions at the same time while the cost of doing so is constrained. This leads us into the area of emergent design and the ability to let experience shape our design decisions and defer key decisions until the last responsible moment.</p>"
"2010-04",Polyglot programming,Techniques,Trial,"<p>This technique was included in this edition of the Radar for visibility. We felt that there wasn't anything substantial to add to the discourse around it, but that it was important to keep this in view.</p>"
"2010-04",Service choreography,Techniques,Trial,""
"2010-04",Visualization and metrics,Techniques,Trial,""
"2010-04",Incremental data warehousing,Techniques,Assess,""
"2010-04",OAuth,Techniques,Assess,"<p>The Web is a global data structure that enables us to share information. However not all data is meant to be shared by everyone and it’s important to be able to share information on the Web in a disciplined and governable manner without requiring massive centralized infrastructure. OAuth provides a way of sharing resources on the Web responsibly and securely. It is a Web protocol (for Web browsers or machine-to-machine interactions), which allows federated authorization of access to Web resources. What’s interesting is that OAuth is a simple protocol to implement and utilize and yet its design goals match many common enterprise authorization problems. OAuth remains in the assessment category, however, because it has fragmented, and the IETF has not yet drawn the community back together under an Internet RFC.</p>"
"2010-04",Scrum certification,Techniques,Hold,""
"2010-04",ALT.NET,Platforms,Adopt,""
"2010-04",Cloud,Platforms,Adopt,"<p>The Cloud continues to be of interest to us, with Software as a Service the most mature cloud component. Platform and Infrastructure as service offerings have reached different levels of maturity, and we reflect that in our placement of EC2, Google App Engine and Azure.</p>"
"2010-04",IE6 End of Life,Platforms,Adopt,""
"2010-04",iPhone,Platforms,Adopt,<p>The iPhone and android operating systems have rapidly become key players in the mobile platform marketplace. Apple’s app store and Google’s open source operating system have helped both companies leapfrog the competition in capturing developer mindshare.</p>
"2010-04",JVM as platform,Platforms,Adopt,""
"2010-04",Platform roadmaps,Platforms,Adopt,""
"2010-04",Android,Platforms,Trial,""
"2010-04",Application appliances,Platforms,Assess,"<p>This platform was included in this edition of the Radar for visibility. We felt that there wasn't anything substantial to add to the discourse around it, but that it was important to keep this in view.</p>"
"2010-04",Facebook as business platform,Platforms,Assess,""
"2010-04",Google App Engine,Platforms,Assess,"<p>The Cloud continues to be of interest to us, with Software as a Service the most mature cloud component. Platform and Infrastructure as service offerings have reached different levels of maturity, and we reflect that in our placement of EC2, Google App Engine and Azure.</p>"
"2010-04",Google as corporate platform,Platforms,Assess,""
"2010-04",Large format mobile devices,Platforms,Assess,"<p>Large format mobile devices, such as the Apple iPad and Amazon Kindle, provide a new model of ubiquitous computing. Their long battery life, simple interfaces and easy connectivity have the potential to change the way we interact with computers. Apple’s new user interfaces discard the familiar desktop metaphors of files and folders that have been standard since the introduction of the Macintosh in 1984.</p>"
"2010-04",Location based services,Platforms,Assess,""
"2010-04",Mobile Web,Platforms,Assess,""
"2010-04",Azure,Platforms,Hold,""
"2010-04",GWT,Platforms,Hold,"<p>Google Web Toolkit (GWT) offers an interesting premise: write Swing-like Java code and generate unit testable JavaScript widgets and user interfaces. From a practical standpoint this doesn’t work well. First, using code-gen to produce the artifacts is time consuming, artificially extending build times and requiring manual changes to obtain optimal package layout. Second, if the JavaScript doesn’t behave exactly as you want you will have to hack the generated code. Third, using Java to generate JavaScript means that you can’t take direct advantage of the powerful features of JavaScript or numerous libraries such as JQuery. Finally, the JUnit support is quite limited, for example code using reflection cannot be tested.</p>"
"2010-04",IE8,Platforms,Hold,""
"2010-04",Rich Internet Applications,Platforms,Hold,""
"2010-04",WS-* beyond basic profile,Platforms,Hold,""
"2010-04",C# 4.0,languages-and-frameworks,Adopt,""
"2010-04",JavaScript as a first class language,languages-and-frameworks,Adopt,""
"2010-04",Ruby/Jruby,languages-and-frameworks,Adopt,""
"2010-04",Domain-Specific Languages,languages-and-frameworks,Trial,""
"2010-04",Groovy,languages-and-frameworks,Trial,""
"2010-04",Clojure,languages-and-frameworks,Assess,"<p>In the previous radar, we lumped functional languages together in a group. For this version, we’ve exploded that group and started calling out the ones interesting to us. Of the current crop of functional languages, the one we like the most is Clojure: a simple, elegant implementation of Lisp on the JVM. The other two that we fi nd interesting are Scala (a re-thinking of Java in functional form) and F#, the OCaml derivative from Microsoft that now appears “in the box” in Visual Studio 2010.</p>"
"2010-04",F#,languages-and-frameworks,Assess,"<p>In the previous radar, we lumped functional languages together in a group. For this version, we’ve exploded that group and started calling out the ones interesting to us. Of the current crop of functional languages, the one we like the most is Clojure: a simple, elegant implementation of Lisp on the JVM. The other two that we fi nd interesting are Scala (a re-thinking of Java in functional form) and F#, the OCaml derivative from Microsoft that now appears “in the box” in Visual Studio 2010.</p>"
"2010-04",HTML 5,languages-and-frameworks,Assess,"<p>HTML 5 offers a large number of improvements over HTML 4 and XHTML 1.0. Many of these improvements are focused on providing support for developing complex web applications, and improving integration of rich content such as audio and video in standard ways. Features such as client-side storage, web sockets and offline use will further establish the position of the web browser as a viable enterprise application platform.</p>"
"2010-04",Java language end of life,languages-and-frameworks,Assess,""
"2010-04",Scala,languages-and-frameworks,Assess,"<p>In the previous radar, we lumped functional languages together in a group. For this version, we’ve exploded that group and started calling out the ones interesting to us. Of the current crop of functional languages, the one we like the most is Clojure: a simple, elegant implementation of Lisp on the JVM. The other two that we fi nd interesting are Scala (a re-thinking of Java in functional form) and F#, the OCaml derivative from Microsoft that now appears “in the box” in Visual Studio 2010.</p>"
"2010-08",ASP,Tools,Adopt,"<p>We have been tracking ASP.NET MVC since its early release candidates. This is an exciting development in the .NET space from Microsoft, both in the programming model and in the open source license under which Microsoft has released the library. ASP.NET MVC is similar to MVC frameworks on the Java platform and is a move away from the ASP.NET Web Forms approach to one that supports greater levels of automated testing.</p>"
"2010-08",Squid,Tools,Adopt,"<p>This tool was included in this edition of the Radar for visibility. We felt that there wasn't anything substantial to add to the discourse around it, but that it was important to keep this in view.</p>"
"2010-08",Subversion,Tools,Adopt,""
"2010-08",Apache camel,Tools,Trial,""
"2010-08",Git,Tools,Trial,""
"2010-08",Mercurial,Tools,Trial,""
"2010-08",Message buses without smarts,Tools,Trial,""
"2010-08",MongoDB,Tools,Trial,"<p>Document-oriented databases treat each record as a document with the ability to add any number of fields of arbitrary size. A relatively large amount of the attention that has been directed at document databases has landed on mongoDB, a highly scalable option with support for querying, indexing, replication and sharding. Beyond its enterprise feature set, its popularity is aided by its driver support for Java, Ruby, PHP, C#, Python and a number of other languages.</p>"
"2010-08",Neo4J,Tools,Trial,"<p>Graph databases store information as interconnected nodes with arbitrary relations rather than tables and nameless relations. Graph databases are an excellent choice for complex domains with semi-structured data since they’re schema-less and highly extensible. Neo4j is the front-runner in the graph database space being an embedded Java component, which supports fast storage and search of graphs for Java solutions (including server applications). The Neo4j community is highly active and now has a basic REST API enabling it as more general purpose database engine. Neo4j moving into the trial category is representative of our experience trialling it in real-world scenarios and the early successes we’ve achieved.</p>"
"2010-08",Next-generation test tools,Tools,Trial,""
"2010-08",NoSQL,Tools,Trial,""
"2010-08",Puppet,Tools,Trial,"<p>Puppet is a free, open source data center automation tool for managing changes to your production and production-like environments. Using Puppet, you can keep the configuration of your environments in version control and push changes out to your systems in a controlled, automated fashion. Infrastructure automation tools like puppet have the benefits of reducing manual effort allowing ops to focus on higher priorities, providing consistency and repeatability by reducing waste eliminating environmental differences between test and production environments.</p>"
"2010-08",Cross mobile platforms,Tools,Assess,""
"2010-08",Github,Tools,Assess,""
"2010-08",RDF triple stores,Tools,Assess,""
"2010-08",Restfulie,Tools,Assess,""
"2010-08",ESB,Tools,Hold,""
"2010-08",Intentional Software,Tools,Hold,"<p>ThoughtWorks has been working with Intentional Software for the past several years, and we are thrilled at the recent limited availability and production use of the Intentional Domain Workbench. We believe this technology represents a radical departure from the traditional software development approach. We place this technology in the assess ring, since we believe that it is time to begin exploring the application of Intentional’s technology in proofs of concept.</p>"
"2010-08",Build pipelines,Techniques,Adopt,""
"2010-08",Coding architects,Techniques,Adopt,"<p>This technique was included in this edition of the Radar for visibility. We felt that there wasn't anything substantial to add to the discourse around it, but that it was important to keep this in view.</p>"
"2010-08",Emergent design,Techniques,Adopt,""
"2010-08",Evolutionary database,Techniques,Adopt,""
"2010-08",Platform roadmaps,Techniques,Adopt,""
"2010-08",Visualization and metrics,Techniques,Adopt,""
"2010-08",Web as platform,Techniques,Adopt,""
"2010-08",Automation of technical tests,Techniques,Trial,""
"2010-08",Capability modeling,Techniques,Trial,""
"2010-08",Continuous deployment,Techniques,Trial,""
"2010-08",Evolutionary architecture,Techniques,Trial,""
"2010-08",Polyglot programming,Techniques,Trial,"<p>This technique was included in this edition of the Radar for visibility. We felt that there wasn't anything substantial to add to the discourse around it, but that it was important to keep this in view.</p>"
"2010-08",Service choreography,Techniques,Trial,""
"2010-08",DevOps,Techniques,Assess,"<p>DevOps is a new movement seeking to achieve the business need for rapid delivery of software products while maintaining the stability of live environments. It uses two approaches: first, promoting closer collaboration between development and operations; second, applying practices shared with agile (collaboration, automation, simplicity, etc) to operations processes such as provisioning, change management, and production monitoring. It encompasses culture, processes, and tools - all supporting better communication, faster feedback and delivery, and more predictable outcomes.</p>"
"2010-08",Incremental data warehousing,Techniques,Assess,"<p>The industry has seen significant changes to the way we use and store data over the past few years. Agile development practices have lead to greater emphasis on evolutionary database design, requiring new tools that support migration of schemas in line with changes to the domain model of an application. As storage space consistently becomes cheaper and data access speeds increase, many organizations are investigating the use of multiple schemas to hold data for different purposes, e.g. transactional and analysis schemas. Incremental data warehousing is becoming increasingly popular as the cost of moving data between a transactional data store and an analysis environment is less than the value of having access to near real-time reporting of critical business data.</p>"
"2010-08",Database based integration,Techniques,Hold,""
"2010-08",Scrum certification,Techniques,Hold,""
"2010-08",ALT.NET,Platforms,Adopt,"<p>While .NET has proven itself as a solid platform, many practitioners are dissatisfied with many of the default Microsoft tools and practices. This has led to the growth of the Alt.NET community, which champions techniques that we find more effective along with (usually opensource) tools that better support them.</p>"
"2010-08",Android,Platforms,Adopt,""
"2010-08",ATOM,Platforms,Adopt,""
"2010-08",IE6 End of Life,Platforms,Adopt,"<p>IE6 is a significantly deficient browser with many documented security holes and should be phased out as soon as possible. Browsers such as Firefox and Chrome can be installed alongside IE, allowing the user to choose which one to use. We recommend that organizations with intranet applications that require IE6 consider using it only for those specific applications, and install one of these alongside for general use.</p>"
"2010-08",iPhone,Platforms,Adopt,"<p>The iPhone changed the face of the mobile phone. The iPad has the potential to radically alter the way users interact with and consume Web-based resources and applications and will spawn a plethora of similar tablet devices. The addition of wireless application distribution in IOS4 allows organizations to securely host and distribute in-house applications without using the App Store, overcoming one of the main barriers to corporate adoption. IOS4’s introduction of multitasking with applications running in the background has opened up new possibilities for enterprise applications, at the cost of extra battery usage.</p>"
"2010-08",JVM as platform,Platforms,Adopt,"<p>While the radar has called out the possibility of the Java language nearing its end of life, the JVM is demonstrating its resilience as a general-purpose virtual machine for other languages such as Ruby, Groovy, Scala and Clojure.</p>"
"2010-08",KVM,Platforms,Adopt,"<p>This platform was included in this edition of the Radar for visibility. We felt that there wasn't anything substantial to add to the discourse around it, but that it was important to keep this in view.</p>"
"2010-08",EC2 & S3,Platforms,Trial,""
"2010-08",Facebook as business platform,Platforms,Trial,""
"2010-08",App containers,Platforms,Assess,"<p>This platform was included in this edition of the Radar for visibility. We felt that there wasn't anything substantial to add to the discourse around it, but that it was important to keep this in view.</p>"
"2010-08",Application appliances,Platforms,Assess,"<p>This platform was included in this edition of the Radar for visibility. We felt that there wasn't anything substantial to add to the discourse around it, but that it was important to keep this in view.</p>"
"2010-08",Azure,Platforms,Assess,""
"2010-08",Google App Engine,Platforms,Assess,"<p>This platform was included in this edition of the Radar for visibility. We felt that there wasn't anything substantial to add to the discourse around it, but that it was important to keep this in view.</p>"
"2010-08",Google as corporate platform,Platforms,Assess,"<p>At the start of October 2009, ThoughtWorks became a customer of Google Apps. Although we have heard a wide range of opinions about the user experience offered by Google Mail, Calendar and Documents, the general consensus is that our largely consultant workforce is happy with the move. The next step that we as a company are looking to embrace is Google as a corporate platform beyond the standard Google Apps; in particular we are evaluating the use of Google App Engine for a number of internal systems initiatives. Google App Engine, Amazon EC2 and Salesforce.com all claim to be Cloud providers, yet each of their offerings differ. The Cloud fits into a broad categorization of service offerings split out into Infrastructure as a Service (e.g. Amazon EC2 and Rackspace), Platform as a Service (e.g. App Engine) and Software as a Service (e.g. Salesforce.com). In some cases, providers may span multiple service categories, further diluting the Cloud as a label. Regardless, the value of infrastructure, platform and software in the cloud is difficult to question and although many offerings have hit bumps in the road, they certainly have earned their position on the radar.</p>"
"2010-08",GPGPU,Platforms,Assess,""
"2010-08",iPad,Platforms,Assess,""
"2010-08",Location based services,Platforms,Assess,"<p>Google maps has led the way in bringing mapping mainstream. But businesses, governments and non-profit organizations are now learning to use these location based services to communicate more effectively with customers. With other mapping services providers getting into the act, there is going to be a proliferation of applications built around mapping targeted at customers who are now much more map-savvy.</p>"
"2010-08",Mobile Web,Platforms,Assess,""
"2010-08",OAuth,Platforms,Assess,""
"2010-08",RDFa,Platforms,Assess,""
"2010-08",GWT,Platforms,Hold,""
"2010-08",IE8,Platforms,Hold,"<p>Internet browsers such as Google Chrome, Safari, Opera and Firefox, have made serious inroads in the implementation of the HTML 5 specification. With these advances it is now possible to experience many of the improvements that HTML brings. Unfortunately so far Microsoft has lagged on implementing these new standards. We recommend that organizations favor standards compliant browsers over IE8.</p>"
"2010-08",Rich Internet Applications,Platforms,Hold,"<p>Rich Internet Applications (RIA) are a popular topic, driven by the effort and marketing of big vendors pushing their offerings. RIA is useful for complex visualizations but ill-suited for other programming tasks because it doesn’t fully support the engineering hygiene we require for our tools: testing is difficult and application partitioning is cumbersome. These frameworks also don’t support common elements we take for granted in applications hosted in a browser: bookmarking, addressability, browser controls, and other aspects. We’re not entirely critical of these tools, but think that their sweet spot is rich visualizations, not building traditional data entry CRUD applications.</p>"
"2010-08",WS-* beyond basic profile,Platforms,Hold,""
"2010-08",C# 4.0,languages-and-frameworks,Adopt,""
"2010-08",JavaScript as a first class language,languages-and-frameworks,Adopt,""
"2010-08",JRuby,languages-and-frameworks,Adopt,""
"2010-08",Ruby,languages-and-frameworks,Adopt,"<p>This language/framework was included in this edition of the Radar for visibility. We felt that there wasn't anything substantial to add to the discourse around it, but that it was important to keep this in view.</p>"
"2010-08",Domain-Specific Languages,languages-and-frameworks,Trial,"<p>A significant amount of innovation occurred in the JavaScript space thanks to the Ruby on Rails community. This same community has helped to move both internal and external DSLs forward as a means for more closely mapping business requirements in code. Ruby’s syntax lends itself easily to the creation of easily readable DSLs, while language tools such as ANTLR help to make the creation of new domain specific languages more accessible to interested developers.</p>"
"2010-08",Groovy,languages-and-frameworks,Trial,""
"2010-08",Clojure,languages-and-frameworks,Assess,""
"2010-08",F#,languages-and-frameworks,Assess,""
"2010-08",HTML 5,languages-and-frameworks,Assess,""
